image,trans,image processing,processing,computation,field,sparse,trans image,application,neural,network,mathematics,social,model,matrix,via,information,mean field,mean,textdollar
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6860707299618353,0.0,0.0,0.7275348469246229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.5228384253602212,0.0,0.4619044557099125,0.0,0.0,0.48982061586770553,0.0,0.0,0.5228384253602212,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5213622398903235,0.0,0.0,0.0,0.0,0.0,0.0,0.5834153937727276,0.0,0.0,0.6227422365036421,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6663397336489406,0.0,0.0,0.0,0.0,0.0,0.0,0.745648281269835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6663397336489406,0.0,0.0,0.0,0.0,0.0,0.0,0.745648281269835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.894427190999916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447213595499958,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7370024593411372,0.33448119365202317,0.0,0.38885916858450176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4401570776734178,0.0,0.0,0.0,0.0,0.0,0.0
0.2990134971234665,0.2714085690442156,0.0,0.31553256956814457,0.0,0.7143146154298197,0.0,0.0,0.31553256956814457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35715730771490983,0.0
